Ocean Drainage Areas,Location ID,ECCC Gauge Number,Comments,ECCC Gauge Name,Study Area as Reported,Latitude as Reported,Longitude as Reported,Lat,Lon,Sub-watershed,Watershed,Size,Size_un,Province,,
Nelson River,10202,05KJ001,,Saskatchewan River at The Pas,Saskatchewan River basin,,,53.83806,-101.2087,Nelson-Churchill watershed,,,,,,
Nelson River,10203,05MJ001,,Assiniboine River at Headingley,Assiniboine River Basin,,,49.86828,-97.40528,Nelson-Churchill watershed,,,,,,
Nelson River,10204,05OC001,,Red River at Emerson,Red River Basin,,,49.00375,-97.22383,Nelson-Churchill watershed,,,,,,
Nelson River,10205,05PF063,,Winnipeg River at Pine Falls G.S.,Winnipeg River basin,,,50.225,-95.57083,Nelson-Churchill watershed,,,,,,
Nelson River,10206,05UB008,,East and West Channel,Lake Winnipeg basin,,,54.24417,-97.59083,Nelson-Churchill watershed,,,,,,
Nelson River,10207,05UF006,,Nelson River at Kettle G.S.,Nelson River Basin,,,56.38028,-94.63389,Nelson-Churchill watershed,,,,,,
Nelson River,10208,05UH002,WEIR RIVER ABOVE THE MOUTH,,Nelson-Churchill watershed (entire),,,57.02306,-93.45306,Nelson-Churchill watershed,,NA,NA,AB/SK/MB/ON,,
Nelson River,19601,05PF069,,Pine Falls,Winnipeg River basin,,,50.5675,-96.1775,Nelson-Churchill watershed,,136000,km2,ON/MB/Minnesota,,
Great Slave Lake,4401,07DA008,,Near Ft. McKay,Muskeg River Basin,,,57.19128,-111.57,Athabasca River,,1460,km2,AB,,
W & N Hudson Bay,1201,06CD002,,,upstream portion of Churchill River Basin,113° to 94°W,53° to 59.5°N,55.64769,-104.736,Nelson-Churchill watershed,,280000,km2,"AB, SK, MB",,
Nelson River,8501,05HF003,LAKE DIEFENBAKER AT GARDINER DAM,,Lake Diefenbaker,,,51.28025,-106.8392,South Saskatchewan River Basin,,136000,km2,SK,,
Nelson River,8502,05AG006,OLDMAN RIVER NEAR THE MOUTH,,Oldman River Basin,,,49.91889,-111.8,South Saskatchewan River Basin,,27508,km2,AB,,
Nelson River,8503,05BN012,BOW RIVER NEAR THE MOUTH,,Bow River Basin,,,50.04728,-111.5909,South Saskatchewan River Basin,,25123,km2,AB,,
Nelson River,8504,05CK004,RED DEER RIVER NEAR BINDLOSS,,Red Deer River Basin,,,50.90278,-110.2995,South Saskatchewan River Basin,,44682.7,km2,AB/SK,,
Nelson River,1301,05DC010,NORTH SASKATCHEWAN RIVER BELOW BIGHORN PLANT,Bighorn Hydroelectric Dam,Upper North Saskatchewan River Basin,,,52.31,-116.3225,North Saskatchewan River Basin,,3858,km2,AB,,
St. Lawrence,19801,02EB013,BIG EAST RIVER NEAR HUNTSVILLE,,Harp Lake catchment,,,45.39272,-79.15994,,,4.7,km2,ON,,
St. Lawrence,19802,02EB013,BIG EAST RIVER NEAR HUNTSVILLE,,Harp Lake (lake n/ watershed***),,,45.39272,-79.15994,,,0.714,km2,ON,,
Pacific,12201,08XXXXX,NA,,west side of the Cascade Mountains,,,NA,NA,Columbia River Basin,,NA,NA,BC,,
Pacific,12202,08NE058,COLUMBIA RIVER AT INTERNATIONAL BOUNDARY,,Columbia River Basin,,,49.00083,-117.6283,,,NA,NA,BC/US,,
Nelson River,16601,05MD801,ASSINIBOINE RIVER AT SHELLMOUTH BRIDGE,,Shellmouth dam,,,50.9325,-101.4839,Red River Basin,,18300,km2,MB,,
Nelson River,16602,05OC012,RED RIVER NEAR STE. AGATHE,,Ste. Agathe,,,49.56581,-97.17853,Red River Basin,,115000,km2,MB,,
Nelson River,16603,05OC026,RED RIVER ABOVE RED RIVER FLOODWAY,,Floodway entrance,,,49.73939,-97.13008,Red River Basin,,119000,km2,MB,,
Great Slave Lake,14301,07FD001,KISKATINAW RIVER NEAR FARMINGTON,Arras,Kiskatinaw River  ,,,55.95736,-120.5644,Mainstem sub-watershed,Kiskatinaw River Watershed,213.82,km2,BC,,
St. Lawrence,14401,02GA029,,Eramosa River above Guelph,Guelph research site,,,43.54778,-80.18203,Eramosa River subwatershed,,24.18,km2,ON,,
St. Lawrence,14402,02GC008,,Lynn River at Simcoe,Norfolk research site,,,42.82333,-80.28944,Lynn River sub-watershed,,155,km2,ON,,
Nelson River,10001,05AA008,,Crowsnest at Frank,Crownest Creek watershed,49.64°N,114.55°W,49.59732,-114.4106,Oldman River watershed,,384,km2,AB,,
St. Lawrence,3401,02XXXXX,,,St. Esprit watershed,"45°55'0"" to 46°0'0""","73°41'32"" to 73°36'0""W",45.916667,-73.692222,L'Assomption watershed,,24.3,km2,QB,,
St. Lawrence,1401,02HC049,DUFFINS CREEK AT AJAX,,Duffins Creek watershed,,,43.84889,-79.05611,Lake Ontario,,293,km2,ON,,
Nelson River,6901,05CB007,DICKSON DAM TUNNEL OUTLET,,Red Deer at Dickson Dam,,Red Deer subwatershed,52.05835,-114.2186,South Saskatchewan River Basin,,5590,km2,AB,,
Nelson River,6902,05CC002,RED DEER RIVER AT RED DEER,,Red Deer at Red Deer,,Red Deer subwatershed,52.27053,-112.1769,South Saskatchewan River Basin,,,,AB,,
Nelson River,6903,05CD004,RED DEER RIVER NEAR NEVIS,,Red Deer near Nevis,,Red Deer subwatershed,52.3,-113.0667,South Saskatchewan River Basin,,,,AB,,
Nelson River,6904,05CB002,LITTLE RED DEER RIVER NEAR WATER VALLEY,,Red Deer at Big Valley,,Red Deer subwatershed,51.51147,-114.671,South Saskatchewan River Basin,,NA,NA,AB,,
Nelson River,6905,05CE001,RED DEER RIVER AT DRUMHELLER,,Red Deer at Drumheller,,Red Deer subwatershed,51.46727,-112.7115,South Saskatchewan River Basin,,,,AB,,
Nelson River,6906,05CJ009,RED DEER RIVER NEAR JENNER,,Red Deer near Jenner,,Red Deer subwatershed,50.84389,-111.1533,South Saskatchewan River Basin,,,,AB,,
Nelson River,6907,05CK004,RED DEER RIVER NEAR BINDLOSS,,Red Deer at Bindloss,,Red Deer subwatershed,50.90278,-110.2995,South Saskatchewan River Basin,,,,AB,,
Nelson River,6908,05AA023,OLDMAN RIVER NEAR WALDRON'S CORNER,,Oldman near Waldron Corner,,Oldman River subwatershed,49.81389,-114.1833,South Saskatchewan River Basin,,,,AB,,
Nelson River,6909,05AA024,OLDMAN RIVER NEAR BROCKET,,Oldman near Brocket,,Oldman River subwatershed,49.55781,-113.8227,South Saskatchewan River Basin,,,,AB,,
Nelson River,6910,05AB007,OLDMAN RIVER NEAR FORT MACLEOD,,Oldman near Fort Macleod,,Oldman River subwatershed,49.71667,-113.45,South Saskatchewan River Basin,,,,AB,,
Nelson River,6911,05AD007,OLDMAN RIVER NEAR LETHBRIDGE,,Oldman near Lethbridge,,Oldman River subwatershed,49.70942,-112.8629,South Saskatchewan River Basin,,,,AB,,
Nelson River,6912,05AA002,CROWSNEST RIVER NEAR LUNDBRECK,,Crowsnest near Lundbreck,,,49.59444,-114.1708,South Saskatchewan River Basin,,,,AB,,
Nelson River,6913,05AA022,CASTLE RIVER NEAR BEAVER MINES,,Castle near Beaver Mines,,,49.48866,-114.1444,South Saskatchewan River Basin,,,,AB,,
Nelson River,6914,05AA004,PINCHER CREEK AT PINCHER CREEK,,Pincher at Pincher Creek,,,49.4864,-113.9477,South Saskatchewan River Basin,,,,AB,,
Nelson River,6915,05AD027,WATERTON - BELLY DIVERSION CANAL,,Belly below Waterton,,,49.32703,-113.6338,South Saskatchewan River Basin,,,,AB,,
Nelson River,6916,05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,,St. Mary at St. Mary Dam,,,49.36305,-113.1146,South Saskatchewan River Basin,,NA,NA,AB,,
Nelson River,6917,05AB028,WILLOW CREEK ABOVE CHAIN LAKES,,Willow above Chain Lakes,,,50.19639,-114.2128,South Saskatchewan River Basin,,,,AB,,
Nelson River,6918,05AB021,WILLOW CREEK NEAR CLARESHOLM,,Willow near Claresholm,,,50.01852,-113.7148,South Saskatchewan River Basin,,,,AB,,
Nelson River,6919,05AB002,WILLOW CREEK NEAR NOLAN,,Willow near Nolan,,,49.79389,-113.5369,South Saskatchewan River Basin,,,,AB,,
Nelson River,6920,05BJ001,ELBOW RIVER BELOW GLENMORE DAM,,Elbow below Glenmore Dam,,,51.01279,-114.0932,South Saskatchewan River Basin,,,,AB,,
Nelson River,6921,05BH004,BOW RIVER AT CALGARY,,Bow at Calgary,,,51.05027,-114.0515,South Saskatchewan River Basin,,,,AB,,
Nelson River,6922,05AK001,SOUTH SASKATCHEWAN RIVER AT HIGHWAY NO. 41,,Entire watershed,,,50.7375,-110.0958,South Saskatchewan River Basin,,121095,km2,AB,,
Pacific,18601,08XXXXX,NA,,Rocky Mountains,,,NA,NA,Fraser River Basin,,NA,NA,BC,,
Pacific,18602,08XXXXX,NA,,Interior Plateau,,,NA,NA,Fraser River Basin,,NA,NA,BC,,
Pacific,18603,08XXXXX,NA,,Coast Mountains,,,NA,NA,Fraser River Basin,,NA,NA,BC,,
Pacific,18604,08KB001,,Upper Fraser,Upper Fraser [08KB001],54.01°N,122.62°W,54.00367,-122.6247,Fraser River Basin,,32400,km2,BC,,
Pacific,18605,08KH006,,Quesnel,Quesnel [08KH006],52.84°N,122.22°W,52.84306,-122.2253,Fraser River Basin,,11500,km2,BC,,
Pacific,18606,08LF051,,Thompson-Nicola,Thompson-Nicola [08LF051],50.35°N,121.39°W,50.35463,-121.3936,Fraser River Basin,,54900,km2,BC,,
Pacific,18607,08MA001,,Chilko,Chilko [08MA001],52.07°N,123.54°W,52.06975,-123.5395,Fraser River Basin,,6940,km2,BC,,
Pacific,18608,08MF005,,Fraser at Hope,Fraser at Hope [08MF005],49.38°N,121.45°W,49.38596,-121.4542,Fraser River Basin,,217000,km2,BC,,
Great Slave Lake,3801,07DA001,,,Lower Athabasca River Basin,6293000 Northing,475439 Easting,56.78035,-111.4022,Athabasca River Basin,,,,AB,,
Great Slave Lake,14101,07GJ001,,Smoky River at Watino,Smoky River Basin,55.715°N,-117.623°W,55.7146,-117.6231,Peace River Basin,,50300,km2,AB/BC,,
Pacific,9601,08HD031,UPPER CAMPBELL LAKE AT STRATHCONA DAM,,Upper Campbell catchment,,,49.99694,-125.5866,,,1194,km2,BC,,
Pacific,9602,08ND013,ILLECILLEWAET RIVER AT GREELEY,,Illecillewaet catchment,,,51.01263,-118.0851,Columbia River Basin,,1150,km2,BC,,
Pacific,9501,08ND013,ILLECILLEWAET RIVER AT GREELEY,,Illecillewaet catchment,,,51.01263,-118.0851,Columbia River Basin,,1150,km2,BC,,
Pacific,9401,08HD031,UPPER CAMPBELL LAKE AT STRATHCONA DAM,,Upper Campbell catchment,,,49.99694,-125.5866,,,1194,km2,BC,,
Pacific,9402,08ND013,ILLECILLEWAET RIVER AT GREELEY,,Illecillewaet catchment,,,51.01263,-118.0851,Columbia River Basin,,1150,km2,BC,,
Pacific,9701,08HD031,UPPER CAMPBELL LAKE AT STRATHCONA DAM,,Upper Campbell catchment,,,49.99694,-125.5866,,,1194,km2,BC,,
Pacific,9702,08ND013,ILLECILLEWAET RIVER AT GREELEY,,Illecillewaet catchment,,,51.01263,-118.0851,Columbia River Basin,,1150,km2,BC,,
St. Lawrence,11101,02GA029,ERAMOSA RIVER ABOVE GUELPH,,Guelph region,,,43.54778,-80.18203,Grand River Basin,,,,ON,,
Pacific,6701,08XXXXX,,,Fraser-Shelley,54.01°N,122.62°W,54.01,-122.62,Fraser river basin,,32400,km2,BC,,
Pacific,6702,08XXXXX,,,Stuart,54.42°N,124.27°W,54.42,-124.27,Fraser river basin,,14200,km2,BC,,
Pacific,6703,08XXXXX,,,Nautley,54.08°N,124.59°W,54.08,-124.59,Fraser river basin,,6030,km2,BC,,
Pacific,6704,08XXXXX,,,Quesnel  ,52.84°N,122.22°W,52.84,-122.22,Fraser river basin,,11500,km2,BC,,
Pacific,6705,08XXXXX,,,Chilko  ,52.07°N,123.54°W,52.07,-123.54,Fraser river basin,,6940,km2,BC,,
Pacific,6706,08XXXXX,,,Thompson-Nicola ,50.35°N,121.39°W,50.35,-121.39,Fraser river basin,,54900,km2,BC,,
Pacific,6707,08XXXXX,,,Fraser at Hope   ,49.38°N,121.45°W,49.38,-121.45,Fraser river basin,,217000,km2,BC,,
Pacific,6708,08XXXXX,NA,,Rocky and Coast Mountains,,,NA,NA,Fraser River Basin,,NA,NA,BC,,
Pacific,6709,08MF005,FRASER RIVER AT HOPE,,Fraser River basin,,,49.38596,-121.4542,,,217000,km2,BC,,
Great Slave Lake,14901,07XXXXX,,Peace River at Bennett Dam (GMS Hudson Hope),Peace River at Williston Dam (Williston inflow) (BCGMS),56.02°N,122.2°W,56.02,-122.2,Peace River Basin,,72078,km2,BC,,
Great Slave Lake,14902,07FA004,,Peace River above Pine River,"Peace River above Pine River, near Site C (PEAPN)",56.20°N,120.81°W,56.19933,-120.8145,Peace River Basin,,11822,km2,BC,,
Great Slave Lake,14903,07FD002,,Peace River at Taylor,Peace River at Taylor (PEACT),56.16°N,120.66°W,56.13939,-120.6724,Peace River Basin,,17100,km2,BC,,
Pacific,14904,08XXXXX,,Campbell River at Strathcona Dam,Campbell River at Strathcona Dam (BCSCA),50.55°N,125.58°W,50.55,-125.58,Campbell River watershed,,1193,km2,BC,,
Pacific,14905,08XXXXX,,,Spillimacheen River near Spillimacheen (SPINS),50.90°N,116.43°W,50.9,-116.43,Upper Columbia,,1430,km2,BC,,
Pacific,14906,08XXXXX,,Columbia River at Mica Dam,Columbia River at Mica Dam (BCHMI),52.08°W,118.55°W,52.08,-118.55,Upper Columbia,,21134,km2,BC,,
Pacific,14907,08XXXXX,,Columbia River at Revelstoke Dam,Columbia River at Revelstoke Dam (BCHRE),51.07°W,118.20°W,51.07,-118.2,Upper Columbia,,5253,km2,BC,,
Pacific,14908,08XXXXX,,Whatshan River at Whatshan Dam,Whatshan River at Whatshan Dam (BCWAT),49.92°W,118.13°W,49.92,-118.13,Upper Columbia,,393,km2,BC,,
Pacific,14909,08XXXXX,,Columbia River at Keenlyside Dam,Columbia River at Keenlyside Dam (BCHAR),49.35°N,117.78°W,49.35,-117.78,Upper Columbia,,10272,km2,BC,,
Pacific,14910,08XXXXX,,,Elk River at Elko Dam (BCHEL),49.29°N,115.10°W,49.29,-115.1,Upper Columbia,,3530,km2,BC,,
Pacific,14911,08NG002,,Bull River near Wardner,Bull River near Wardner (BULNW),49.48°N,115.37°W,49.49362,-115.3658,Upper Columbia,,1530,km2,BC,,
Pacific,14912,08XXXXX,,Duncan River at Duncan Dam,Duncan River at Duncan Dam (BCHDN),50.25°N,116.95°W,50.25,-116.95,Upper Columbia,,2426,km2,BC,,
Pacific,14913,08XXXXX,,Kootenay River at Kootenay Canal,Kootenay River at Kootenay Canal (BCHKL),49.45°N,117.52°W,49.45,-117.52,Upper Columbia,,20700,km2,BC,,
Pacific,14914,08NJ013,,Slocan River near Crescent Valley,Slocan River near Crescent Valley (SLONC),49.46°N,117.56°W,49.46008,-117.5648,Upper Columbia,,3320,km2,BC,,
Pacific,14915,08NE074,,Salmo River near Salmo,Salmo River near Salmo (SALNS),49.05°N,117.29°W,49.04714,-117.2943,Upper Columbia,,1230,km2,BC,,
Great Slave Lake,10901,07DA001,ATHABASCA RIVER BELOW FORT MCMURRAY,Fort McMurray,Entire basin,,,56.78035,-111.4022,,,150000,km2,AB/SK,,
Great Slave Lake,10902,07DA001,ATHABASCA RIVER BELOW FORT MCMURRAY,,South-western portion,,,56.78035,-111.4022,,,,,AB,,
Great Slave Lake,10903,07DA001,ATHABASCA RIVER BELOW FORT MCMURRAY,,North-eastern portion and Rocky Mountains,,,56.78035,-111.4022,,,,,AB/SK,,
Pacific,16701,08ME023,BRIDGE RIVER (SOUTH BRANCH) BELOW BRIDGE GLACIET,Bridge River Gauging station,Bridge River catchment,,,50.85622,-123.4533,Southen Chilcotin Mountains,,152.4,km2,BC,,
Great Slave Lake,18101,07HA001,,Peace River at Peace River,Peace River at Peace River,,,56.24494,-117.3143,,,,,,,
Great Slave Lake,18102,07KC001,,Peace River at Peace Point,Peace River at Peace Point,,,59.11806,-112.4369,,,,,,,
Great Slave Lake,18103,07DA001,,Athabasca River below Ft. McMurray,Athabasca River below Ft. McMurray,,,56.78035,-111.4022,,,,,,,
Great Slave Lake,18104,07BE001,ATHABASCA RIVER AT ATHABASCA,Athabasca River at Athabasca,Athabasca River at Athabasca,,,54.72203,-113.288,,,,,AB,,
Great Slave Lake,18105,07BC002,PEMBINA RIVER AT JARVIE,Pembina River at Jarvie,Pembina River at Jarvie,,,54.45029,-113.9933,,,,,AB,,
Great Slave Lake,18106,07AE001,,Athabasca River near Windfall,Athabasca River near Windfall,,,54.20753,-116.0632,,,,,,,
Great Slave Lake,18107,07AD002,ATHABASCA RIVER AT HINTON,Athabasca River at Hinton,Athabasca River at Hinton,,,53.42429,-117.5694,,,,,AB,,
Great Slave Lake,18108,07GH002,LITTLE SMOKY RIVER NEAR GUY,Little Smokey River near Guy,Little Smokey River near Guy,,,55.45623,-117.1619,,,,,AB,,
Great Slave Lake,18109,07GH001,SMOKY RIVER AT WATINO,Smokey River at Watino,Smokey River at Watino,,,55.7146,-117.6231,,,,,AB,,
Great Slave Lake,18110,07GE001,WAPITI RIVER NEAR GRANDE PRAIRIE,Wapiti River near Grande Prairie,Wapiti River near Grande Prairie,,,55.07125,-118.8029,,,,,AB,,
Great Slave Lake,18111,07FB001,PINE RIVER AT EAST PINE,Peace River at East Pine,Peace River at East Pine,,,55.71844,-121.2116,,,,,BC,,
Great Slave Lake,18112,07HC001,NOTIKEWIN RIVER AT MANNING,Notikewin River at Manning,Notikewin River at Manning,,,56.92004,-117.6184,,,,,AB,,
Nelson River,7101,05HC001,SOUTH SASKATCHEWAN RIVER AT SASKATCHEWAN LANDING,,South Saskatchewan River Basin,,,50.65278,-107.9722,Saskatchewan River Basin,,121095,km2,AB/SK/Montana,,
Nelson River,7006,05BL024,HIGHWOOD RIVER NEAR THE MOUTH,,Highwood at Mouth ,,,50.7825,-113.8227,South Saskatchewan River Basin,Saskatchewan River Basin,4166,km2,AB/SK/Montana,,
Nelson River,7012,05AD934,BELLY RIVER NEAR MOON RIVER ROAD,,Belly at Mouth,,,49.7287,-113.1247,South Saskatchewan River Basin,Saskatchewan River Basin,3874,km2,AB/SK/Montana,,
Nelson River,7015,05AD026,WATERTON RESERVOIR,,Waterton at Waterton Reservoir,,,49.32023,-113.6842,South Saskatchewan River Basin,Saskatchewan River Basin,1289,km2,AB/SK/Montana,,
Arctic,8201,10LC017,,Havikpak Creek,Havikpack Creek basin,,,68.31278,-133.5262,,,16.4,km2,NWT,,
St. Lawrence,20001,02XXXXX,,,Manicouagan basin,51°223'N,68°42'W,51.366667,-68.7,,,44500,km2,QB,,
Great Slave Lake,11801,07XXXXX,,Jasper in the Athabasca River basin,Upper Athabasca watershed,52.91°N,-118.06°W,52.91,-118.06,Athabasca River basin,,3500,km2,AB  ,,
Arctic,16001,10ED002,,Liard River at Mouth,Liard-M (WSC ID: 10ED002),,,61.74272,-121.228,Liard river basin,Mackenzie river basin,275000,km2,YK/NWT/AB/BC,,
Pacific,19301,08HB002,,Englishman River,Englishman River (08HB002),,,49.31611,-124.2853,Georgia Basin,,324,km2,BC,,
Pacific,19302,08GA010,,Capilano River,Capilano River (08GA010),,,49.39624,-123.1458,Georgia Basin,,172,km2,BC,,
Pacific,19303,08MH141,,Coquitlam River,Coquitlam River (08MH141),,,49.48794,-122.7925,Georgia Basin,,54.7,km2,BC,,
Pacific,19304,08GA072,,Cheakamus River,Cheakamus River (08GA072),,,50.07991,-123.0356,Georgia Basin,,285,km2,BC,,
Pacific,19305,08GA071,,Elaho River,Elaho River (08GA071),,,50.11403,-123.4284,Georgia Basin,,1250,km2,BC,,
Pacific,19306,08MG005,,Lillooet River,Lillooet River (08MG005),,,50.33602,-122.8002,Georgia Basin,,2160,km2,BC,,
Pacific,19307,08MG005,LILLOOET RIVER NEAR PEMBERTON,,Snow driven systems,,,50.33602,-122.8002,Georgia Basin,,NA,NA,BC,,
Pacific,19308,08MG005,LILLOOET RIVER NEAR PEMBERTON,,Hybrid systems,,,50.33602,-122.8002,Georgia Basin,,NA,NA,BC,,
Pacific,19201,08NE105,COLUMBIA RIVER AT HUGH KEENLEYSIDE DAM TAILRACE,Columbia River at Keenlyside Dam,Columbia River at Keenlyside Dam (BCHAR),,,49.33889,-117.7642,Upper Columbia,,36659,km2,BC,,
Pacific,19202,08NB005,,Columbia River at Donald,Columbia River at Donald (COLAD),,,51.4833,-117.1804,Upper Columbia,,9710,km2,BC,,
Pacific,19203,08NF001,KOOTENAY RIVER AT KOOTENAY CROSSING,Kootenay River at Kootenay Canal,Kootenay River at Kootenay Canal (BCHKL),,,50.88703,-116.0461,Upper Columbia,,46398,km2,BC/US,,
Pacific,19204,08NK002,,Elk River at Fernie,Elk River at Fernie (ELKAF),,,49.50347,-115.0701,Upper Columbia,,3110,km2,BC,,
Arctic,14801,10LC011,MACKENZIE RIVER BELOW POINT SEPARATION,,Mackenzie River Basin,51° to 70°N,,67.66111,-134.1361,Mackenzie River Basin,,1800000,km2,NWT/YK/BC/AB/SK,,
Arctic,14802,10GC001,,Mackenzie River at Fort Simpson,Mackenzie River at Fort Simpson,61.9°N,121.4°W,61.9,-121.4,Mackenzie River Basin,,1301435,km2,,,
Arctic,14803,10LC014,,Mackenzie River at Arctic Red River,Mackenzie River at Arctic Red River,67.5°N,133.7°W,67.5,-133.7,Mackenzie River Basin,,1679100,km2,,,
St. Lawrence,12401,02FF008,,Parkhill Creek,Upper Parkhill watershed,,,43.16413,-81.63151,Lake Huron,Great Lakes Basin,130,km2,ON,,
Pacific,16301,08JE001,,Stuart River near Fort St. James,Stuart sub-basin (08JE001),,,54.41686,-124.2706,Fraser River Basin,,14600,km2,BC,,
Pacific,16302,08JC001,,Nechako River at Vanderhoof,Nechako sub-basin (08JC001),,,54.02673,-124.0087,Fraser River Basin,,25100,km2,BC,,
Pacific,16303,08KB001,,Fraser River at Shelley,Fraser-Shelly sub-basin (08KB001),,,54.00367,-122.6247,Fraser River Basin,,32400,km2,BC,,
Pacific,16304,08KH006,,Quesnel River near Quesnel,Quesnel sub-basin (08KH006),,,52.84306,-122.2253,Fraser River Basin,,11500,km2,BC,,
Pacific,16305,08MB005,,Chilcotin River below Big Creek,Chilcotin sub-basin (08MB005),,,51.84794,-122.6548,Fraser River Basin,,19300,km2,BC,,
Pacific,16306,08LB064,,North Thompson River at Mclure,North Thompson sub-basin (08LB064),,,51.04093,-120.2405,Fraser River Basin,,19600,km2,BC,,
Pacific,16307,08LE031,,South Thompson River at Chase,South Thompson sub-basin (08LE031),,,50.76311,-119.7431,Fraser River Basin,,16200,km2,BC,,
Pacific,16308,08LF051,,Thompson River near Spences Bridge,Thompson-Spences sub-basin (08LF051),,,50.35463,-121.3936,Fraser River Basin,,54900,km2,BC,,
Pacific,16309,08MF005,,Fraser River at Hope,Fraser-Hope sub-basin (08MF005),,,49.38596,-121.4542,Fraser River Basin,,217000,km2,BC,,
Pacific,16310,08MG013,,Harrison River near Harrison Hot Springs,Harrison sub-basin (08MG013),,,49.30042,-121.8296,Fraser River Basin,,7680,km2,BC,,
Pacific,16311,08MH024,,Fraser River at Mission,Fraser-Mission sub-basin (08MH024),,,49.12774,-122.3029,Fraser River Basin,,228000,km2,BC,,
Pacific,16312,08XXXXX,,,Eastern mountain region,,,NA,NA,Fraser River Basin,,NA,NA,BC,,
Pacific,16313,08XXXXX,,,Central Plateau region,,,NA,NA,Fraser River Basin,,NA,NA,BC,,
Pacific,16314,08XXXXX,,,Coastal mountain region,,,NA,NA,Fraser River Basin,,NA,NA,BC,,
Pacific,16315,08MF005,FRASER RIVER AT HOPE,,Fraser River basin,,,49.38596,-121.4542,,,217000,km2,BC,,
St. Lawrence,2301,02TC004,MANICOUAGAN (RIVIERE) A LA CENTRALE NO. 5,,Manicouagan 5 river basin,,,50.64444,-68.725,Manicouagan watershed,,24610,km2,QB,,
St. Lawrence,2001,02TC004,MANICOUAGAN (RIVIERE) A LA CENTRALE NO. 5,,Manicouagan 5 river basin,,,50.64444,-68.725,Manicouagan watershed,,24610,km2,QB,,
St. Lawrence,1901,02TC004,MANICOUAGAN (RIVIERE) A LA CENTRALE NO. 5,,Manicouagan 5 river basin,,,50.64444,-68.725,Manicouagan watershed,,24610,km2,QB,,
St. Lawrence,2101,02TC004,MANICOUAGAN (RIVIERE) A LA CENTRALE NO. 5,,Manicouagan 5 river basin,,,50.64444,-68.725,Manicouagan watershed,,24610,km2,QB,,
Nelson River,4501,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Alpine ecozone,,,50.95054,-115.1529,Marmot Creek Research Basin,,3.23,km2,AB,,
Nelson River,4502,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Treeline ecozone,,,50.95054,-115.1529,Marmot Creek Research Basin,,0.93,km2,AB,,
Nelson River,4503,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Upper forest ecozone,,,50.95054,-115.1529,Marmot Creek Research Basin,,2.75,km2,AB,,
Nelson River,4504,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Forest Clearing Blocks ecozone,,,50.95054,-115.1529,Marmot Creek Research Basin,,0.4,km2,AB,,
Nelson River,4505,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Forest Circular clearing North-facing ecozone,,,50.95054,-115.1529,Marmot Creek Research Basin,,0.26,km2,AB,,
Nelson River,4506,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Forest circular clearing - South-facing ecozone,,,50.95054,-115.1529,Marmot Creek Research Basin,,0.24,km2,AB,,
Nelson River,4507,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Lower forest ecozone,,,50.95054,-115.1529,Marmot Creek Research Basin,,1.42,km2,AB,,
Nelson River,4508,05BF016,,,Marmot Creek Research basin (whole basin),50°57'N,115°09'W,50.95054,-115.1529,Bow River,,9.4,km2,AB,,
Pacific,9801,08MH141,,Coquitlam dam,Coquitlam watershed,49.489°N,122.791°W,49.48794,-122.7925,,,191,km2,BC,,
St. Lawrence,3201,02BA004,LAKE SUPERIOR AT ROSSPORT,,Superior,,,48.83372,-87.51956,Great Lakes basin,,128000,km2,ON/US,,
St. Lawrence,3202,02BF010,LAKE SUPERIOR AT GROS CAP,,Michigan,,,46.52914,-84.58628,Great Lakes basin,,118000,km2,ON/US,,
St. Lawrence,3203,02FE012,LAKE HURON AT GODERICH,,Huron,,,43.74539,-81.72781,Great Lakes basin,,131000,km2,ON/US,,
St. Lawrence,3204,02GG011,ST. CLAIR RIVER AT PORT LAMBTON,,St. Clair,,,42.65728,-82.50708,Great Lakes basin,,12400,km2,ON/US,,
St. Lawrence,3205,02GC028,LAKE ERIE AT PORT DOVER,,Erie,,,42.78142,-80.20156,Great Lakes basin,,58800,km2,ON/US,,
St. Lawrence,3206,02HD015,LAKE ONTARIO AT COBOURG,,Ontario,,,43.95647,-78.16439,Great Lakes basin,,60600,km2,ON/US,,
St. Lawrence,3207,02XXXXX,NA,,entire Great Lakes basin,,,NA,NA,Great Lakes basin,,770000,km2,ON/US,,
St. Lawrence,3101,02BA004,LAKE SUPERIOR AT ROSSPORT,,Superior,,,48.83372,-87.51956,Great Lakes basin,,128000,km2,ON/US,,
St. Lawrence,3102,02BF010,LAKE SUPERIOR AT GROS CAP,,Michigan,,,46.52914,-84.58628,Great Lakes basin,,118000,km2,ON/US,,
St. Lawrence,3103,02FE012,LAKE HURON AT GODERICH,,Huron,,,43.74539,-81.72781,Great Lakes basin,,131000,km2,ON/US,,
St. Lawrence,3104,02GG011,ST. CLAIR RIVER AT PORT LAMBTON,,St. Clair,,,42.65728,-82.50708,Great Lakes basin,,12400,,ON/US,,
